feedback_id,client_id,received_at,rating,nps_score,comment,service,resolved
F001,C001,2026-08-23T09:14:00,5,9,Looked great and the finish was clean. Very happy for a first campaign.,Auto-Rickshaw Hood Branding,False
F002,C003,2026-08-23T10:02:00,2,5,Hoarding installation was delayed by four days and nobody informed us.,Hoarding / Billboard Advertising,False
F003,C004,2026-08-23T10:47:00,4,8,Good work overall but the bus wrap print could be sharper.,Transit (Bus) Advertising,False
F004,C005,2026-08-23T11:20:00,3,6,Design was fine but the installation team turned up late again.,Auto-Rickshaw Hood Branding,True
F005,C002,2026-08-23T12:05:00,5,9,Excellent placement. Already getting noticed by customers.,Digital OOH Display,False
F006,C009,2026-08-23T13:33:00,4,7,Consistent as always. Would like faster proof approvals though.,Auto-Rickshaw Hood Branding,False
F007,C010,2026-08-23T14:10:00,1,2,Screen was not switched on for two evenings and no one picked up the phone.,Digital OOH Display,True
F008,C006,2026-08-22T16:40:00,3,7,Print quality was below what we saw in the sample.,Hoarding / Billboard Advertising,False
F009,C004,2026-08-21T11:15:00,5,10,Great turnaround on the last panel change.,Transit (Bus) Advertising,True
F010,C003,2026-08-20T09:50:00,2,3,Second time an installation date has slipped without a heads-up.,Hoarding / Billboard Advertising,True
F011,C004,2026-03-02T18:25:00,5,10,Board went up on schedule and looks sharp from the road.,Hoarding / Billboard Advertising,False
F012,C003,2026-03-03T12:25:00,5,8,"Smooth cycle from artwork to mounting, no chasing needed.",Hoarding / Billboard Advertising,False
F013,C009,2026-03-06T15:40:00,5,10,"Good batch, the colours came out exactly right.",Auto-Rickshaw Hood Branding,False
F014,C003,2026-03-09T12:25:00,5,8,"Smooth cycle from artwork to mounting, no chasing needed.",Hoarding / Billboard Advertising,False
F015,C009,2026-03-13T09:50:00,5,10,Fitting was neat and the buses went out on schedule.,Transit (Bus) Advertising,False
F016,C003,2026-03-13T15:50:00,4,8,Loop timing works well for our evening audience.,Digital OOH Display,False
F017,C004,2026-03-13T16:40:00,4,8,Panels look excellent and the routes were exactly as planned.,Transit (Bus) Advertising,False
F018,C004,2026-03-14T12:50:00,4,7,Wrap quality is holding up well after a month.,Transit (Bus) Advertising,False
F019,C005,2026-03-18T11:25:00,5,9,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F020,C009,2026-03-18T12:40:00,4,9,Fitting was neat and the buses went out on schedule.,Transit (Bus) Advertising,False
F021,C009,2026-03-20T17:25:00,4,8,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F022,C004,2026-03-21T09:40:00,4,7,Print quality matched the proof exactly this time.,Hoarding / Billboard Advertising,False
F023,C009,2026-03-21T16:15:00,5,9,Rollout was on time and the count matched the order.,Auto-Rickshaw Hood Branding,False
F024,C003,2026-03-23T12:50:00,5,8,Board went up on schedule and looks sharp from the road.,Hoarding / Billboard Advertising,False
F025,C006,2026-03-25T16:15:00,5,10,Print quality matched the proof exactly this time.,Hoarding / Billboard Advertising,False
F026,C009,2026-04-01T16:40:00,5,9,Panels look excellent and the routes were exactly as planned.,Transit (Bus) Advertising,False
F027,C009,2026-04-05T14:50:00,4,9,"Good batch, the colours came out exactly right.",Auto-Rickshaw Hood Branding,False
F028,C004,2026-04-05T15:50:00,5,9,Creative looks crisp on the screen and the slot timing is good.,Digital OOH Display,False
F029,C009,2026-04-06T17:40:00,5,8,"Consistent as always, no complaints from our side.",Auto-Rickshaw Hood Branding,False
F030,C009,2026-04-07T15:15:00,4,7,Hoods look clean and the coverage across the city is good.,Auto-Rickshaw Hood Branding,False
F031,C003,2026-04-07T17:15:00,4,8,Screen quality is great and uptime has been solid.,Digital OOH Display,False
F032,C003,2026-04-11T09:50:00,4,7,"Smooth cycle from artwork to mounting, no chasing needed.",Hoarding / Billboard Advertising,False
F033,C006,2026-04-11T16:05:00,5,9,Loop timing works well for our evening audience.,Digital OOH Display,False
F034,C003,2026-04-12T12:05:00,4,9,Screen quality is great and uptime has been solid.,Digital OOH Display,False
F035,C004,2026-04-12T17:15:00,5,8,"Excellent placement, customers have started mentioning it.",Digital OOH Display,False
F036,C004,2026-04-15T10:50:00,4,8,Screen quality is great and uptime has been solid.,Digital OOH Display,False
F037,C009,2026-04-16T18:15:00,5,10,Very happy with the visibility we are getting from this.,Auto-Rickshaw Hood Branding,False
F038,C003,2026-04-18T18:50:00,3,4,Work was fine but the updates could have been more regular.,Hoarding / Billboard Advertising,True
F039,C004,2026-04-20T16:15:00,4,7,"Quick turnaround on the panel change, thank you.",Transit (Bus) Advertising,False
F040,C009,2026-05-02T17:50:00,5,10,Fitting was quick and the finish is holding up well.,Auto-Rickshaw Hood Branding,False
F041,C006,2026-05-04T10:05:00,4,8,Board went up on schedule and looks sharp from the road.,Hoarding / Billboard Advertising,False
F042,C004,2026-05-07T18:25:00,4,7,Panels look excellent and the routes were exactly as planned.,Transit (Bus) Advertising,False
F043,C004,2026-05-11T14:40:00,5,10,"Quick turnaround on the panel change, thank you.",Transit (Bus) Advertising,False
F044,C003,2026-05-11T15:40:00,3,6,Print is acceptable but not quite the sample shade.,Hoarding / Billboard Advertising,True
F045,C009,2026-05-16T10:40:00,5,9,"Quick turnaround on the panel change, thank you.",Transit (Bus) Advertising,False
F046,C003,2026-05-19T18:50:00,3,4,"Went up on time, finishing at the edges could be neater.",Hoarding / Billboard Advertising,True
F047,C004,2026-05-20T10:05:00,5,10,Screen quality is great and uptime has been solid.,Digital OOH Display,False
F048,C009,2026-05-21T11:40:00,4,9,Hoods look clean and the coverage across the city is good.,Auto-Rickshaw Hood Branding,False
F049,C004,2026-05-21T14:05:00,4,9,Fitting was neat and the buses went out on schedule.,Transit (Bus) Advertising,False
F050,C009,2026-05-22T10:40:00,4,9,Fitting was quick and the finish is holding up well.,Auto-Rickshaw Hood Branding,False
